Model,Mean F1 (0.5),Median F1 (0.5),Mean Dice (0.5),Mean Precision (0.5),Mean Recall (0.5)
MAUNET_ENSEMBLE,0.6014752475247525,0.6471,0.7108495049504949,0.6654198019801979,0.5637861386138614
MAUNET_RESNET50,0.5685108910891089,0.5993,0.7193059405940594,0.5722297029702971,0.580308910891089
MAUNET_WIDE,0.5560673267326732,0.5978,0.7303019801980197,0.5445118811881189,0.5984653465346534
NNUNET,0.38328019801980207,0.3815,0.6928148514851483,0.3619069306930693,0.4807821782178217
UNET,0.3341118811881188,0.3211,0.6835722772277228,0.3242386138613861,0.3853950495049505
LSTMUNET,0.2889019801980198,0.3163,0.6423940594059407,0.25839108910891095,0.4548762376237624
SAC,0.0036900990099009894,0.0,0.12466831683168317,0.006710891089108911,0.010666336633663369
