Model,Mean F1 (0.5),Median F1 (0.5),Std F1 (0.5),Mean Dice (0.5),Mean Precision (0.5),Mean Recall (0.5),Min F1,Max F1
MAUNET,0.53549900990099,0.5864,0.24348795637363646,0.6863673267326731,0.5480504950495051,0.5668336633663366,0.0288,0.9457
NNUNET,0.3724633663366337,0.3669,0.2578116501334927,0.7267396039603959,0.3615366336633664,0.46476039603960384,0.0,0.9153
UNET,0.33438217821782185,0.3214,0.2377375609347583,0.6833643564356436,0.32409306930693066,0.3859514851485149,0.0,1.0
LSTMUNET,0.2897772277227722,0.3163,0.2067538153849588,0.6423554455445546,0.25925544554455443,0.45519900990099016,0.0,0.844
SAC,0.0036900990099009894,0.0,0.008156181765391145,0.12466831683168317,0.006710891089108911,0.010666336633663369,0.0,0.044
