Model,Mean F1 (0.5),Median F1 (0.5),Mean Dice (0.5),Mean Precision (0.5),Mean Recall (0.5)
MAUNET_ENSEMBLE,0.6567168316831681,0.7421,0.7315049504950493,0.6722376237623761,0.6510930693069306
MAUNET,0.5933970297029704,0.6597,0.7351534653465347,0.5978544554455445,0.6066415841584157
NNUNET,0.38260990099009906,0.3815,0.6929534653465345,0.36109504950495047,0.4801504950495049
UNET,0.2978353846153846,0.2414,0.6648830769230769,0.30645538461538463,0.3357061538461539
LSTMUNET,0.2897772277227722,0.3163,0.6423554455445546,0.25925544554455443,0.45519900990099016
SAC,0.0036900990099009894,0.0,0.12466831683168317,0.006710891089108911,0.010666336633663369
