image,false_negative_rate,false_positive_rate,under_segmentation_rate,over_segmentation_rate,boundary_f1,gt_num_cells,total_error_rate
cell_00073.tif,1.0,126.35714285714286,0.0,0.7142857142857143,0.0,2,128.07142857142858
cell_00071.tif,0.8928571428571429,44.392857142857146,0.0,0.42857142857142855,0.0,4,45.71428571428572
cell_00072.tif,0.8979591836734694,34.59183673469388,0.04081632653061224,0.18367346938775508,0.0,7,35.714285714285715
cell_00011.png,0.18095238095238095,26.885714285714283,0.0,0.0,0.0,15,27.066666666666663
cell_00017.png,0.15584415584415584,22.64935064935065,0.0,0.0,0.0,22,22.80519480519481
cell_00041.png,0.23376623376623376,21.974025974025974,0.0,0.0,0.0,11,22.207792207792206
cell_00070.png,0.30357142857142855,20.553571428571427,0.0,0.0,0.0,16,20.857142857142854
cell_00062.png,0.7534246575342465,14.41095890410959,0.06262230919765166,0.050880626223091974,0.0,73,15.27788649706458
cell_00077.tif,0.884920634920635,12.65873015873016,0.11111111111111112,0.24206349206349206,0.0,36,13.896825396825397
cell_00042.png,0.2077922077922078,10.454545454545455,0.0,0.0,0.0,11,10.662337662337663
cell_00060.png,0.6704161979752531,7.730033745781777,0.006749156355455568,0.17547806524184478,0.0,127,8.58267716535433
cell_00004.png,0.18095238095238095,8.161904761904761,0.0,0.0,0.0,15,8.342857142857142
cell_00001.tiff,0.5,7.142857142857143,0.0,0.5238095238095238,0.0,6,8.166666666666668
cell_00007.tiff,0.7023809523809524,6.845238095238095,0.07142857142857142,0.511904761904762,0.0,12,8.130952380952381
cell_00055.png,0.6205016357688112,7.3206106870229,0.008724100327153763,0.11014176663031625,0.0,131,8.059978189749181
cell_00016.tiff,0.6964285714285714,6.678571428571429,0.08928571428571429,0.5178571428571429,0.0,8,7.982142857142858
cell_00014.tiff,0.5714285714285714,6.714285714285714,0.07936507936507937,0.30158730158730157,0.0,9,7.666666666666666
cell_00012.png,0.6931216931216931,6.370370370370369,0.3386243386243386,0.19047619047619047,0.0,54,7.592592592592592
cell_00020.tiff,0.6714285714285715,6.085714285714286,0.05714285714285715,0.5,0.0,10,7.314285714285715
cell_00015.png,0.14285714285714285,6.455357142857143,0.0,0.0,0.0,16,6.5982142857142865
cell_00056.png,0.674802584350323,5.265613783201723,0.01722900215362527,0.25269203158650394,0.0,199,6.2103374012921755
cell_00074.tif,0.9472851871375857,5.144438587243015,0.022667369530838165,0.0063257775434897206,0.0,271,6.120716921454928
cell_00008.tiff,0.4835164835164836,5.263736263736264,0.02197802197802198,0.18681318681318682,0.0,13,5.956043956043956
cell_00050.png,0.6473988439306358,5.089182493806772,0.03468208092485549,0.1676300578034682,0.0,173,5.938893476465731
cell_00040.png,0.3766233766233766,5.5064935064935066,0.0,0.0,0.0,22,5.883116883116883
cell_00024.tiff,0.5238095238095238,4.642857142857143,0.15476190476190474,0.34523809523809523,0.0,12,5.666666666666667
cell_00044.png,0.6770833333333333,4.805803571428571,0.023809523809523808,0.15029761904761904,0.0,192,5.656994047619047
cell_00018.tiff,0.5625,4.196428571428571,0.13392857142857142,0.39285714285714285,0.0,16,5.285714285714286
cell_00038.tiff,0.8095238095238094,4.1190476190476195,0.06666666666666667,0.20476190476190476,0.0,90,5.2
cell_00058.png,0.5692963752665244,4.1862117981520965,0.044065387348969434,0.22316986496090974,0.0,201,5.0227434257285
cell_00023.tiff,0.5488721804511278,3.8947368421052633,0.10526315789473684,0.3909774436090225,0.0,19,4.939849624060151
cell_00021.tiff,0.6380952380952382,3.6761904761904765,0.18095238095238095,0.4095238095238095,0.0,15,4.904761904761906
cell_00092.tif,0.6587301587301587,3.8888888888888893,0.015873015873015872,0.07936507936507937,0.0,18,4.642857142857143
cell_00036.tiff,0.861111111111111,3.4484126984126986,0.04365079365079365,0.19246031746031747,0.0,72,4.54563492063492
cell_00064.png,0.6217466743782534,3.5980335454019667,0.02891844997108155,0.18739155581260844,0.0,247,4.43609022556391
cell_00005.png,0.14814814814814814,4.253968253968254,0.0,0.0,0.0,27,4.402116402116402
cell_00029.tiff,0.7936507936507936,3.4462081128747792,0.0,0.10934744268077601,0.0,81,4.349206349206349
cell_00037.tiff,0.8898450946643718,3.0154905335628226,0.05679862306368331,0.17211703958691912,0.0,83,4.134251290877796
cell_00006.png,0.4090909090909091,3.3376623376623376,0.17532467532467533,0.14285714285714285,0.0,22,4.0649350649350655
cell_00019.tiff,0.5714285714285714,3.2222222222222223,0.0,0.2698412698412698,0.0,9,4.063492063492063
cell_00025.png,0.5714285714285714,3.1387755102040815,0.21632653061224488,0.08571428571428572,0.0,35,4.012244897959183
cell_00013.tiff,0.5126050420168068,3.1848739495798317,0.04201680672268908,0.2689075630252101,0.0,17,4.008403361344538
cell_00022.tiff,0.5210084033613446,2.815126050420168,0.17647058823529413,0.33613445378151263,0.0,17,3.848739495798319
cell_00101.tif,0.4369145199063232,3.1921838407494145,0.00117096018735363,0.0030737704918032786,0.0,976,3.6333430913348947
cell_00067.png,0.5285073670723894,2.7258167841127485,0.035233824471492634,0.2056374119154388,0.0,223,3.4951953875720694
cell_00039.tiff,0.794577685088634,2.5349322210636083,0.01251303441084463,0.10218978102189781,0.0,137,3.444212721584985
cell_00003.tiff,0.638655462184874,2.5714285714285716,0.0,0.226890756302521,0.0,17,3.4369747899159666
cell_00099.tif,0.761501210653753,2.593825665859564,0.006053268765133172,0.05508474576271187,0.0,236,3.4164648910411626
cell_00053.png,0.569023569023569,2.547859547859548,0.05868205868205868,0.21404521404521404,0.0,297,3.38961038961039
