model,image,false_negative_count,false_positive_count,under_segmentation_count,over_segmentation_count,false_negative_rate,false_positive_rate,under_segmentation_rate,over_segmentation_rate,boundary_f1,gt_num_cells,pred_num_cells,cell_count_error
unet,cell_00048.png,197,933,2,108,0.5130208333333334,2.4296875,0.010416666666666666,0.28125,0,384,1120,736
unet,cell_00049.png,170,753,1,69,0.4521276595744681,2.002659574468085,0.005319148936170213,0.18351063829787234,0,376,959,583
unet,cell_00050.png,97,1230,1,37,0.5606936416184971,7.109826589595376,0.011560693641618497,0.2138728323699422,0,173,1306,1133
unet,cell_00051.png,128,358,0,40,0.3342036553524804,0.9347258485639687,0.0,0.10443864229765012,0,383,613,230
unet,cell_00052.png,191,1295,7,93,0.5134408602150538,3.4811827956989245,0.03763440860215054,0.25,0,372,1476,1104
unet,cell_00053.png,146,1155,2,74,0.49158249158249157,3.888888888888889,0.013468013468013467,0.24915824915824916,0,297,1306,1009
unet,cell_00054.png,114,613,1,36,0.3140495867768595,1.6887052341597797,0.005509641873278237,0.09917355371900827,0,363,862,499
unet,cell_00055.png,57,1199,0,16,0.4351145038167939,9.15267175572519,0.0,0.12213740458015267,0,131,1273,1142
unet,cell_00056.png,86,887,2,52,0.4321608040201005,4.457286432160804,0.020100502512562814,0.2613065326633166,0,199,1000,801
unet,cell_00057.png,83,490,1,38,0.3721973094170404,2.197309417040359,0.008968609865470852,0.17040358744394618,0,223,630,407
unet,cell_00058.png,103,1117,1,48,0.5124378109452736,5.557213930348259,0.009950248756218905,0.23880597014925373,0,201,1215,1014
unet,cell_00059.png,229,966,4,102,0.541371158392435,2.2836879432624113,0.018912529550827423,0.24113475177304963,0,423,1160,737
unet,cell_00060.png,64,1244,0,27,0.5039370078740157,9.795275590551181,0.0,0.2125984251968504,0,127,1307,1180
unet,cell_00061.png,149,691,2,32,0.40161725067385445,1.862533692722372,0.01078167115902965,0.0862533692722372,0,371,913,542
unet,cell_00062.png,48,1155,3,6,0.6575342465753424,15.821917808219178,0.0821917808219178,0.0821917808219178,0,73,1180,1107
unet,cell_00063.png,156,394,2,44,0.4273972602739726,1.0794520547945206,0.010958904109589041,0.12054794520547946,0,365,603,238
unet,cell_00064.png,146,1185,9,53,0.5910931174089069,4.797570850202429,0.0728744939271255,0.2145748987854251,0,247,1286,1039
unet,cell_00065.png,196,875,2,124,0.45057471264367815,2.0114942528735633,0.009195402298850575,0.2850574712643678,0,435,1114,679
unet,cell_00066.png,144,458,3,37,0.39669421487603307,1.2617079889807163,0.01652892561983471,0.10192837465564739,0,363,677,314
unet,cell_00067.png,97,632,3,47,0.4349775784753363,2.8340807174887894,0.026905829596412557,0.21076233183856502,0,223,758,535
unet,cell_00068.png,152,1692,7,75,0.4257703081232493,4.739495798319328,0.04201680672268908,0.21008403361344538,0,357,1897,1540
unet,cell_00069.png,191,828,5,51,0.43507972665148065,1.8861047835990887,0.025056947608200455,0.11617312072892938,0,439,1076,637
unet,cell_00070.png,10,47,0,0,0.625,2.9375,0.0,0.0,0,16,53,37
unet,cell_00071.tif,3,185,0,2,0.75,46.25,0.0,0.5,0,4,186,182
unet,cell_00072.tif,6,231,0,1,0.8571428571428571,33.0,0.0,0.14285714285714285,0,7,232,225
unet,cell_00073.tif,2,309,0,2,1.0,154.5,0.0,1.0,0,2,309,307
unet,cell_00074.tif,211,4181,1,3,0.7785977859778598,15.428044280442805,0.007380073800738007,0.01107011070110701,0,271,4241,3970
unet,cell_00075.tif,63,124,1,4,0.4405594405594406,0.8671328671328671,0.013986013986013986,0.027972027972027972,0,143,204,61
